lga_name,cultural acceptance,inclusion,support accessibility,benevolence,safety at night,volunteer work,crime control,overall score
Alpine,-16.280347379803832,-48.31669101790397,41.947642887191186,-50.797537916892466,136.2437445926005,139.18659757263922,-85.36450880007129,16.659842848251337
Ararat,-84.92181200816626,37.335624877470856,41.947642887191186,-36.991935277458246,58.44199227283254,100.52824287590613,80.35406080753125,28.099116633615353
Ballarat,-33.44071353689444,51.6110108600335,41.947642887191186,-99.11714715491236,-112.1913963375677,-2.560702982048681,83.39390919669546,-10.051056723929005
Banyule,95.26203264128497,80.16178282515828,41.947642887191186,107.96689243660171,-42.34664141413962,-45.514430422863185,-11.380673027938094,32.299515132185036
Bass Coast,-33.44071353689444,94.43716880772041,-71.43558986729752,-23.186332638023774,20.425226934764115,-36.92368493470023,14.172786400302329,-5.135876976304161
Baw Baw,-93.50199508671152,51.6110108600335,74.34285224561687,-92.21434583519513,-26.432646621459767,24.285376668460383,20.666878944100397,-5.891838403593609
Bayside,112.42239879837554,237.19102863334504,74.34285224561687,225.31451487179322,81.4288736400368,30.72843578458257,-88.1290394546427,96.18558064558677
Benalla,-93.50199508671152,-34.04130503534133,9.552433528765512,59.6472831985818,21.309337756579673,51.13145631896945,32.80072755631054,6.69970546245059
Boroondara,155.323314191102,237.19102863334504,41.947642887191186,121.77249507603594,102.64753336360981,0.6608265760124521,-97.64595042464047,80.27098432895086
Brimbank,146.7431311125567,-205.3459368260905,-330.59726473469834,163.18930299433885,-202.37070016275337,-178.6709854893881,40.39325271131922,-80.95131434210224
Buloke,-136.402910479438,23.06023889490822,58.14524756640288,-9.380729998589553,131.82319048352278,150.9988726188632,-114.98812937682854,14.750825672691573
Campaspe,-102.08217816525678,23.06023889490822,25.750038207979504,101.06409111688448,-30.853200730537495,0.6608265760124521,17.98465977719079,5.083496525311596
Cardinia,-110.66236124380211,-5.490533070216556,58.14524756640288,-16.28353131830679,-102.46617729759669,-80.95125556153512,-29.565835146869162,-41.03920658170336
Casey,26.62056801292264,-119.69362093071616,-71.43558986729752,114.86969375631895,-153.74460496289836,-143.23416035071614,-34.91608184488463,-54.50482802675303
Central Goldfields,-144.98309355798324,-62.592077000466105,-103.8307992257232,-119.82555111406383,-45.883084701401785,0.6608265760124521,37.97499797035949,-62.639825864752325
Colac-Otway,-84.92181200816626,37.335624877470856,58.14524756640288,-50.797537916892466,36.33922172744391,35.023808528664006,-1.3159649159153834,4.258369694143935
Corangamite,-84.92181200816626,65.88639684259563,90.54045692482855,-23.186332638023774,125.63441473081407,114.48820429417081,-87.17536152863039,28.75228094536981
Darebin,146.7431311125567,-119.69362093071616,-136.22600858414657,-9.380729998589553,-83.01573921765473,-126.05266937439038,65.61178953459101,-37.430549636907095
East Gippsland,-59.18126277253031,-76.86746298302874,25.750038207979504,-16.28353131830679,6.2794537857153765,19.990003924378946,44.954444458645945,-7.908330956735151
Frankston,-42.02089661543978,-34.04130503534133,-22.842775829660162,-2.477928678872564,-137.8306101702185,-119.60961025826818,97.59122165477154,-37.318843561861286
Gannawarra,-136.402910479438,23.06023889490822,58.14524756640288,-9.380729998589553,131.82319048352278,150.9988726188632,-54.93196498250006,23.33027772902421
Golden Plains,-7.70016430125857,37.335624877470856,90.54045692482855,-85.31154451547815,48.71677323286159,71.53447685335631,-139.40341961360784,2.2446004940246786
Greater Bendigo,-59.18126277253031,23.06023889490822,25.750038207979504,-50.797537916892466,-85.66807168310133,-1.4868597960283034,18.70843320318225,-18.516431694640353
Greater Dandenong,121.00258187692086,-276.72286673890267,-362.99247409312403,211.50891223235874,-207.67536509364658,-203.36937876785646,94.17955240754893,-89.15271973952875
Greater Geelong,18.0403849343773,23.06023889490822,-6.645171150446175,-92.21434583519513,-36.157865661430776,-50.883646352964995,26.272575086583437,-16.93254715488116
Greater Shepparton,-153.5632766365286,-34.04130503534133,-152.42361326336055,-112.9227497943466,-111.30728551575213,-79.87741237551478,114.7886459217613,-75.6209995284404
