"Table 8. Offence rate per 100,000 population by Region and Local Government Area - January 2010 to December 2014",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Offence rate,,,,,,,,,,,,,,,,,,,
,Jan - Dec 2010,Jan - Dec 2011,Jan - Dec 2012,Jan - Dec 2013,Jan - Dec 2014,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
North West Metro Region,,,,,,,,,,,,,,,,,,,,
Banyule,"5,513.1","5,488.6","5,804.2","7,476.2","6,953.3",,,,,,,,,,,,,,,
Brimbank,"7,993.3","8,805.4","9,654.3","9,968.8","8,777.4",,,,,,,,,,,,,,,
Darebin,"7,494.0","7,929.1","7,932.1","8,291.7","9,665.9",,,,,,,,,,,,,,,
Hobsons Bay,"6,442.1","6,548.4","7,957.0","7,527.7","7,788.4",,,,,,,,,,,,,,,
Hume,"7,743.1","8,037.2","8,712.9","8,361.8","9,365.4",,,,,,,,,,,,,,,
Maribyrnong,"11,439.6","11,473.8","11,576.0","10,587.4","9,837.2",,,,,,,,,,,,,,,
Melbourne,"32,085.7","29,810.5","32,983.9","28,002.4","26,246.9",,,,,,,,,,,,,,,
Melton,"5,929.9","6,805.6","7,270.9","7,457.5","7,750.4",,,,,,,,,,,,,,,
Moonee Valley,"6,256.1","6,396.9","7,157.8","6,512.8","7,262.5",,,,,,,,,,,,,,,
Moreland,"6,521.7","7,062.7","7,462.2","7,559.3","7,749.1",,,,,,,,,,,,,,,
Nillumbik,"2,592.4","3,168.3","2,892.4","3,472.4","3,196.4",,,,,,,,,,,,,,,
Whittlesea,"6,157.5","6,539.2","7,222.5","7,338.5","7,323.7",,,,,,,,,,,,,,,
Wyndham,"6,406.4","6,853.7","7,277.8","6,656.5","6,464.7",,,,,,,,,,,,,,,
Yarra,"14,300.7","13,236.5","13,361.4","13,370.7","14,864.9",,,,,,,,,,,,,,,
Sub total,"8,605.9","8,796.1","9,483.7","9,301.0","9,366.7",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Eastern Region,,,,,,,,,,,,,,,,,,,,
Alpine,"4,276.6","3,405.7","3,807.1","4,483.6","4,346.7",,,,,,,,,,,,,,,
Bass Coast,"6,487.1","6,175.4","6,640.3","7,494.4","7,853.6",,,,,,,,,,,,,,,
Baw Baw,"4,682.0","4,950.6","6,104.4","6,979.3","8,082.4",,,,,,,,,,,,,,,
Benalla,"7,002.5","6,723.1","6,634.6","8,302.4","8,509.9",,,,,,,,,,,,,,,
Boroondara,"3,704.2","3,561.0","4,148.2","4,128.9","3,914.0",,,,,,,,,,,,,,,
East Gippsland,"7,547.5","7,140.5","7,374.9","9,133.2","8,938.1",,,,,,,,,,,,,,,
Greater Shepparton,"9,657.7","9,615.5","9,727.6","10,177.8","11,398.5",,,,,,,,,,,,,,,
Indigo,"2,780.1","2,977.1","3,128.9","3,363.3","2,492.9",,,,,,,,,,,,,,,
Knox,"5,062.0","5,229.4","5,993.5","6,004.2","6,196.6",,,,,,,,,,,,,,,
Latrobe,"10,856.3","11,644.2","13,345.8","13,915.4","15,721.5",,,,,,,,,,,,,,,
Manningham,"2,942.8","3,553.7","3,155.4","3,488.3","3,389.3",,,,,,,,,,,,,,,
Mansfield,"6,785.3","4,986.1","4,942.9","4,679.3","7,575.4",,,,,,,,,,,,,,,
Maroondah,"5,817.6","5,381.0","5,893.6","6,127.3","6,869.9",,,,,,,,,,,,,,,
Mitchell,"8,134.7","7,440.5","7,113.4","7,929.7","8,268.1",,,,,,,,,,,,,,,
Moira,"5,135.7","5,298.2","4,492.6","4,990.4","4,792.1",,,,,,,,,,,,,,,
Monash,"4,539.9","4,300.7","5,091.4","4,767.5","5,146.2",,,,,,,,,,,,,,,
Murrindindi,"4,850.6","4,214.5","4,492.3","5,017.0","4,745.9",,,,,,,,,,,,,,,
South Gippsland,"4,938.7","4,049.1","4,802.6","4,969.6","4,551.4",,,,,,,,,,,,,,,
Strathbogie,"4,157.1","4,480.1","4,738.3","4,708.4","4,968.8",,,,,,,,,,,,,,,
Towong,"3,880.7","3,768.2","4,619.3","5,213.1","3,168.7",,,,,,,,,,,,,,,
Wangaratta,"7,466.9","7,970.7","8,603.7","8,945.8","11,617.7",,,,,,,,,,,,,,,
